# Tab-separated: start	end	mode	name
# Generated by tools/import_tmc_symbols/import_tmc_symbols.py
# end=0 means "unknown — last function in source file".
0x080AF8C4	0x080AF8DB	thumb	ply_modt
0x080AF8DC	0x080AF8EF	thumb	ply_tune
0x080AF8F0	0x080AF8FF	thumb	ply_port
0x080AF900	0x080AF907	thumb	sub_080AF900
0x080AF908	0x080AFB73	thumb	MPlayMain
0x080AFB74	0x080AFB83	thumb	sub_080AFB74
0x080AFB84	0x080AFBCF	thumb	TrackStop
0x080AFBD0	0x080AFBFF	thumb	ChnVolSetAsm
0x080AFC00	0x080AFDFF	thumb	ply_note
0x080AFE00	0x080AFE4B	thumb	ply_endtie
0x080AFE4C	0x080AFE67	thumb	clear_modM
0x080AFE68	0x080AFE73	thumb	sub_080AFE68
0x080AFE74	0x080AFE87	thumb	ply_lfos
0x080AFE88	0x00000000	thumb	ply_mod
0x080B14C4	0x080B14C7	thumb	BgAffineSet
0x080B14C8	0x080B14CB	thumb	CpuSet
0x080B14CC	0x080B14CF	thumb	Div
0x080B14D0	0x080B14D7	thumb	Mod
0x080B14D8	0x080B14DB	thumb	LZ77UnCompVram
0x080B14DC	0x080B14DF	thumb	LZ77UnCompWram
0x080B14E0	0x080B14E3	thumb	ObjAffineSet
0x080B14E4	0x080B14E7	thumb	RegisterRamReset
0x080B14E8	0x080B14EF	thumb	SoundBiasReset
0x080B14F0	0x080B14F7	thumb	SoundBiasSet
0x080B14F8	0x080B14FB	thumb	Sqrt
0x080B14FC	0x080B1503	thumb	VBlankIntrWait
0x080B1504	0x00000000	thumb	SoftReset
0x080B19C8	0x080B19C7	arm	sub_080B19C8
0x080B19C8	0x080B19CB	arm	sub_080B19C8
0x080B19CC	0x080B1A0B	arm	arm_GetTileAtEntityPos
0x080B1A0C	0x080B1A5F	arm	arm_GetTileTypeRelativeToEntity
0x080B1A60	0x080B1A8B	arm	arm_GetTileTypeAtTilePos
0x080B1A8C	0x080B1AEF	arm	arm_GetActTileRelativeToEntity
0x080B1AF0	0x080B1B53	arm	arm_GetCollisionDataRelativeTo
0x080B1B54	0x080B1B67	arm	arm_GetActTileForTileType
0x080B1B68	0x080B1B83	arm	arm_sub_080B1B68
0x080B1B84	0x080B1BA3	arm	arm_sub_080B1B84
0x080B1BA4	0x080B1BCB	arm	arm_sub_080B1BA4
0x080B1BCC	0x080B1C53	arm	sub_080B1BCC
0x080B1C54	0x080B1C7B	arm	UpdateCollision
0x080B1C7C	0x080B1D97	arm	arm_CollideAll
0x080B1D98	0x080B1F2F	arm	arm_CalcCollision
0x080B1F30	0x080B1F5B	arm	arm_sub_080B1F30
0x080B1F5C	0x080B1F87	arm	arm_sub_080B1F5C
0x080B1F88	0x080B1FA3	arm	arm_sub_080B1F88
0x080B1FA4	0x080B1FE3	arm	arm_sub_080B1FA4
0x080B1FE4	0x080B2087	arm	arm_sub_080B1FE4
0x080B2088	0x080B2087	arm	arm_sub_080B2088
0x080B2088	0x080B20AB	arm	sub_080B2088
0x080B20AC	0x080B20EB	arm	sub_080B20AC
0x080B20EC	0x080B20EB	arm	arm_CheckBits
0x080B20EC	0x080B20EB	arm	arm_CheckBitsEU
0x080B20EC	0x080B2123	arm	arm_CheckBitsEU
0x080B2124	0x080B227B	arm	arm_MakeFadeBuff256
0x080B227C	0x080B237B	arm	arm_sub_080B227C
0x080B237C	0x080B23EF	arm	arm_CalcCollisionDirection
0x080B23F0	0x080B2447	arm	arm_DrawEntities
0x080B2448	0x080B2477	arm	sub_080B2448
0x080B2478	0x080B2533	arm	ResolveOamDrawPriority
0x080B2534	0x080B255B	arm	sub_080B2534
0x080B255C	0x080B27F3	arm	sub_080B255C
0x080B27F4	0x080B280B	arm	sub_080B27F4
0x080B280C	0x080B2873	arm	arm_DrawDirect
0x080B2874	0x080B299B	arm	sub_080B2874
0x080B299C	0x00000000	arm	sub_080B299C
