# Tab-separated: addr	mode	name
# Generated by tools/import_tmc_symbols/import_tmc_symbols.py
# Source: zeldaret/tmc asm/**/*.s (thumb_func_start /
#         arm_func_start / non_word_aligned_thumb_func_start)
0x08019410	thumb	PlayerItemBow_Action2
0x08019444	thumb	PlayerItemBow_Action3
0x08019468	thumb	sub_08019468
0x08019480	thumb	PlayerItemSwordBeam
0x08019498	thumb	PlayerItemSwordBeam_Init
0x08019580	thumb	PlayerItemSwordBeam_Action1
0x08019644	thumb	PlayerItemSwordBeam_CyclePalettes
0x0801967C	thumb	sub_0801967C
0x08019698	thumb	sub_08019698
0x08019740	thumb	sub_08019740
0x08019764	thumb	sub_08019764
0x080197A0	thumb	sub_080197A0
0x080197AC	thumb	SetBGDefaults
0x080197D4	thumb	LoadMapData
0x08019840	thumb	UpdatePlayerCollision
0x0801A2B0	thumb	sub_0801A2B0
0x0801A370	thumb	sub_0801A370
0x0801A458	thumb	sub_0801A458
0x0801A4F8	thumb	sub_0801A4F8
0x0801A570	thumb	sub_0801A570
0x0801A8D0	thumb	sub_0801A8D0
0x0801A980	thumb	sub_0801A980
0x0801A9F0	thumb	sub_0801A9F0
0x0801AA58	thumb	sub_0801AA58
0x0801AB08	thumb	RenderMapLayerToSubTileMap
0x0801AC68	thumb	GetTileSetIndexForSpecialTile
0x0801AC98	thumb	sub_0801AC98
0x0801AD6C	thumb	sub_0801AD6C
0x0801AE30	thumb	sub_0801AE30
0x0801AE34	thumb	sub_0801AE34
0x0801AE44	thumb	sub_0801AE44
0x0801AF18	thumb	SetMultipleTiles
0x0801AF48	thumb	RegisterInteractTile
0x0801AF8C	thumb	UnregisterInteractTile
0x0801AFE4	thumb	sub_0801AFE4
0x0801B060	thumb	UpdateBgAnimations
0x0801B0C4	thumb	GetBgAnimationTimer
0x0801B0EC	thumb	LoadBgAnimationGfx
0x0801B130	thumb	LoadBgAnimations
0x0801B170	thumb	ClearBgAnimations
0x0801B188	thumb	PlayerItemBomb
0x0801B250	thumb	PlayerItemBomb_Init
0x0801B2CC	thumb	PlayerItemBomb_Action1
0x0801B318	thumb	PlayerItemBomb_Action2
0x0801B330	thumb	PlayerItemBomb_SubAction0
0x0801B340	thumb	PlayerItemBomb_SubAction1
0x0801B354	thumb	PlayerItemBomb_SubAction2
0x0801B368	thumb	PlayerItemBomb_SubAction3
0x0801B384	thumb	PlayerItemBomb_SubAction4
0x0801B38C	thumb	PlayerItemBomb_Action3
0x0801B3A4	thumb	sub_0801B3A4
0x0801B418	thumb	sub_0801B418
0x0801B45C	thumb	PlayerItemBoomerang
0x0801B4C8	thumb	PlayerItemBoomerang_Init
0x0801B584	thumb	PlayerItemBoomerang_Action1
0x0801B680	thumb	PlayerItemBoomerang_Action2
0x0801B7A8	thumb	PlayerItemBoomerang_Action3
0x0801B804	thumb	sub_0801B804
0x0801B864	thumb	sub_0801B864
0x0801B898	thumb	PlayerItemDashSword
0x0801B8B0	thumb	PlayerItemDashSword_Init
0x0801B8FC	thumb	PlayerItemDashSword_Action1
0x0801B938	thumb	sub_0801B938
0x0801B9F0	thumb	sub_0801B9F0
0x0801BA00	thumb	PlayerItemBottle
0x0801BA18	thumb	PlayerItemBottle_Init
0x0801BB2C	thumb	PlayerItemBottle_Action1
0x0801BC0C	thumb	PlayerItemBottle_UseEmptyBottle2
0x0801BC14	thumb	PlayerItemBottle_UsePotionOrPicolyte
0x0801BCB4	thumb	PlayerItemBottle_UseOther
0x0801BDE8	thumb	sub_0801BDE8
0x0801BE38	thumb	PlayerItemBottle_UseEmptyBottle
0x0801BEF8	thumb	PlayerItemCellOverwriteSet
0x0801C1D4	thumb	UpdateUIElements
0x0801C208	thumb	DrawUIElements
0x0801C25C	thumb	sub_0801C25C
0x0801C2F0	thumb	sub_0801C2F0
0x0801C344	thumb	DrawUI
0x0801C370	thumb	InitUI
0x0801C494	thumb	RefreshUI
0x0801C4A0	thumb	RecoverUI
0x0801C4B0	thumb	DrawRupees
0x0801C5E0	thumb	RenderDigits
0x0801C66C	thumb	EraseHearts
0x0801C6B0	thumb	DrawHearts
0x0801C824	thumb	EraseChargeBar
0x0801C85C	thumb	DrawChargeBar
0x0801C99C	thumb	DrawKeys
0x0801CA6C	thumb	CreateUIElement
0x0801CAB8	thumb	sub_0801CAB8
0x0801CAD0	thumb	sub_0801CAD0
0x0801CAFC	thumb	sub_0801CAFC
0x0801CB20	thumb	sub_0801CB20
0x0801CB78	thumb	ButtonUIElement
0x0801CB90	thumb	ButtonUIElement_Action0
0x0801CBC8	thumb	ButtonUIElement_Action1
0x0801CC80	thumb	sub_0801CC80
0x0801CCB0	thumb	ItemUIElement
0x0801CD94	thumb	TextUIElement
0x0801CE24	thumb	FindUIElement
0x0801CE58	thumb	HeartUIElement
0x0801CEC0	thumb	EzloNagUIElement
0x0801CED8	thumb	EzloNagUIElement_Action0
0x0801CF18	thumb	EzloNagUIElement_Action1
0x0801CF60	thumb	EzloNagUIElement_Action2
0x0801CFA8	thumb	ResetPaletteTable
0x0801CFD0	thumb	sub_0801CFD0
0x0801D000	thumb	sub_0801D000
0x0801D040	thumb	LoadObjPalette
0x0801D108	thumb	FindPalette
0x0801D134	thumb	FindFreeObjPalette
0x0801D19C	thumb	SetEntityObjPalette
0x0801D230	thumb	UnloadOBJPalette
0x0801D244	thumb	sub_0801D244
0x0801D28C	thumb	sub_0801D28C
0x0801D2B4	thumb	ChangeObjPalette
0x0801D2C8	thumb	LoadObjPaletteAtIndex
0x0801D34C	thumb	CleanUpObjPalettes
0x0801D458	thumb	sub_0801D458
0x0801D48C	thumb	sub_0801D48C
0x0801D51C	thumb	EncodeBCD
0x0801D5A8	thumb	ReadBit
0x0801D5BC	thumb	WriteBit
0x0801D5D4	thumb	ClearBit
0x0801D5EC	thumb	MemFill16
0x0801D610	thumb	MemFill32
0x0801D630	thumb	MemClear
0x0801D66C	thumb	MemCopy
0x0801D6C0	thumb	ReadKeyInput
0x0801D6E0	thumb	common_StoreKeyInput
0x0801D714	thumb	LoadPaletteGroup
0x0801D754	thumb	LoadPalettes
0x0801D79C	thumb	SetColor
0x0801D7BC	thumb	SetFillColor
0x0801D7EC	thumb	LoadGfxGroup
0x0801D898	thumb	sub_0801D898
0x0801D8E0	thumb	zMalloc
0x0801DA0C	thumb	zFree
0x0801DA7C	thumb	zMallocInit
0x0801DA90	thumb	DispReset
0x0801DB10	thumb	ClearOAM
0x0801DB34	thumb	ResetScreenRegs
0x0801DB94	thumb	sub_0801DB94
0x0801DBA0	thumb	DrawDungeonMap
0x0801DD58	thumb	sub_0801DD58
0x0801DD88	thumb	LoadDungeonMap
0x0801DDA0	thumb	DrawDungeonFeatures
0x0801DF10	thumb	sub_0801DF10
0x0801DF28	thumb	DrawMapPixel
0x0801DF60	thumb	sub_0801DF60
0x0801DF78	thumb	sub_0801DF78
0x0801DF90	thumb	IsRoomVisited
0x0801DFB4	thumb	InitializeFuseInfo
0x0801E00C	thumb	PerformFuseAction
0x0801E02C	thumb	Fuse_Action0
0x0801E044	thumb	Fuse_Action1
0x0801E074	thumb	Fuse_Action2
0x0801E0A0	thumb	Fuse_Action3
0x0801E0E0	thumb	MessageFromFusionTarget
0x0801E104	thumb	sub_0801E104
0x0801E120	thumb	sub_0801E120
0x0801E154	thumb	sub_0801E154
0x0801E160	thumb	sub_0801E160
0x0801E1B8	thumb	sub_0801E1B8
0x0801E1EC	thumb	sub_0801E1EC
0x0801E24C	thumb	sub_0801E24C
0x0801E290	thumb	sub_0801E290
0x0801E31C	thumb	sub_0801E31C
0x0801E49C	thumb	sub_0801E49C
0x0801E64C	thumb	sub_0801E64C
0x0801E6C8	thumb	NotifyFusersOnFusionDone
0x0801E738	thumb	AddKinstoneToBag
0x0801E798	thumb	RemoveKinstoneFromBag
